,row_index,function_type,degree,depth,num_layers,width,layer_width,num_variables,erm_num_samples,num_training_epochs,num_iter,net_type,train_batch_size,learning_rate,train_loss_initial,val_loss_initial,train_loss_final,val_loss_final
0,57,staircase,12,d,12,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,5664.003270961344,5750.854571059346,239.67625849880278,300.67771097039804
0,58,staircase,12,d,12,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,7565.563706345856,8033.190511524677,429.0339876106009,688.0016789138317
0,59,staircase,12,d,12,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,12253.94544018805,12157.656308457255,2457.503882482648,7321.461310617626
0,6,parity,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,7903.64376950264,8140.888189136982,6468.45133176446,9481.012130141258
0,60,staircase,16,two,2,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,12271.938441157341,12353.690959870815,9068.613025158644,9498.117148548365
0,61,staircase,16,two,2,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,12522.191113650799,12335.07108925283,7861.970027163625,8385.650571748614
0,62,staircase,16,two,2,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,12100.945047736168,12439.235623255372,7235.418891817331,8430.017878904939
0,63,staircase,16,two,2,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,12604.368069216609,12874.54178082943,5758.394554704428,8079.968594819307
0,64,staircase,16,half_d,8,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,10986.336588487029,11132.829598754644,5918.187320649624,6457.510882280767
0,65,staircase,16,half_d,8,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,10759.085152320564,11089.136853769422,4637.394824042916,5712.904562145472
0,66,staircase,16,half_d,8,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,10674.304097369313,11433.375883929431,1394.440560489893,2734.3245236240327
0,67,staircase,16,half_d,8,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,9993.611615635455,11882.07367785275,588.0534813050181,14537.022533908486
0,68,staircase,16,d,16,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,11398.225356429815,11532.220354273915,5772.231957696378,6185.917002119124
0,69,staircase,16,d,16,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,7,parity,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,7785.557165205479,8255.31738191843,4010.7567651718855,12549.021865665913
0,70,staircase,16,d,16,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,71,staircase,16,d,16,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,72,complete,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,1720957.0412332267,1936051.6139882877,3.331423913294218e-05,0.0007515336074785106
0,73,complete,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,2537345.8730363026,2017570.0112757757,993285.4404063225,1209892.6737835407
0,74,complete,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,1512329.046254566,1969979.054620061,0.25774746889476674,518.706583417954
0,75,complete,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,1574424.1801657453,1955799.1118050143,899.6218535378575,1813.1948136743158
0,76,complete,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,2058763.324710086,2109682.303617716,149642.08505454072,143117.1856939934
0,77,complete,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,78,complete,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,79,complete,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,8,parity,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,7991.430085361004,8045.181755423546,7569.973354279995,8386.953879475594
0,80,complete,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,81,complete,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,82,complete,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,83,complete,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,84,complete,12,two,2,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,85,complete,12,two,2,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,86,complete,12,two,2,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,87,complete,12,two,2,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,88,complete,12,half_d,6,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,89,complete,12,half_d,6,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,9,parity,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,7930.544858515263,8127.303092718124,7032.30704665184,8950.169768512249
0,90,complete,12,half_d,6,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,91,complete,12,half_d,6,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,92,complete,12,d,12,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,93,complete,12,d,12,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,94,complete,12,d,12,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,95,complete,12,d,12,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,96,complete,16,two,2,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,19.077628821711833,1503237138.564882,2.171489490616907e-07,858993472.0000001
0,97,complete,16,two,2,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,39.09273348494358,214748405.2107872,7.694355096315997e-06,1717986944.0000012
0,98,complete,16,two,2,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,34.601255721544476,429496657.33542615,0.0002789711094015601,644245104.0002065
0,99,complete,16,two,2,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,34.65164002025267,1073742065.3585982,0.0007712132538291172,644245104.0007106
