,row_index,function_type,degree,depth,num_layers,width,layer_width,num_variables,erm_num_samples,num_training_epochs,num_iter,net_type,train_batch_size,learning_rate,train_loss_initial,val_loss_initial,train_loss_final,val_loss_final
0,14,parity,12,two,2,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,11895.58399182558,12136.683941721916,10889.76498389244,13057.20649856329
0,140,clipped_complete,16,d,16,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,141,clipped_complete,16,d,16,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,142,clipped_complete,16,d,16,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,143,clipped_complete,16,d,16,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,144,msp,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,5677.618110179901,5730.654493331909,2178.926982670091,2136.206294401549
0,145,msp,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,5670.674792632461,5758.632833153009,1295.3712549116462,1351.220678562764
0,146,msp,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,5678.052704900503,5696.644950866699,581.9238051572756,671.628232008472
0,147,msp,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,5964.867170661688,6070.129961907864,541.6544474165421,632.4427440118743
0,148,msp,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,4342.271621271968,4246.867287617177,1.7770330490915853,2.400041854248599
0,149,msp,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,2585.946819009143,2612.878425467876,0.37364904879609284,0.3660083159795029
0,15,parity,12,two,2,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,11843.572694897652,12223.08779156208,9727.970943897963,14278.855810761452
0,150,msp,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,2791.3281875160756,2863.93714331137,2.224523243715339,8.535103209234876
0,151,msp,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,3037.7605639671674,3129.3315247723367,2.4054907624995394,14.71320445614765
