,function_type,degree,depth,width,num_variables,num_samples,num_training_epochs
144,msp,8,two,half_d,32,1000d,100
145,msp,8,two,d,32,1000d,100
146,msp,8,two,2d,32,1000d,100
147,msp,8,two,4d,32,1000d,100
148,msp,8,half_d,half_d,32,1000d,100
149,msp,8,half_d,d,32,1000d,100
150,msp,8,half_d,2d,32,1000d,100
151,msp,8,half_d,4d,32,1000d,100
152,msp,8,d,half_d,32,1000d,100
153,msp,8,d,d,32,1000d,100
154,msp,8,d,2d,32,1000d,100
155,msp,8,d,4d,32,1000d,100
156,msp,12,two,half_d,32,1000d,100
157,msp,12,two,d,32,1000d,100
158,msp,12,two,2d,32,1000d,100
159,msp,12,two,4d,32,1000d,100
160,msp,12,half_d,half_d,32,1000d,100
161,msp,12,half_d,d,32,1000d,100
162,msp,12,half_d,2d,32,1000d,100
163,msp,12,half_d,4d,32,1000d,100
164,msp,12,d,half_d,32,1000d,100
165,msp,12,d,d,32,1000d,100
166,msp,12,d,2d,32,1000d,100
167,msp,12,d,4d,32,1000d,100
168,msp,16,two,half_d,32,1000d,100
169,msp,16,two,d,32,1000d,100
170,msp,16,two,2d,32,1000d,100
171,msp,16,two,4d,32,1000d,100
172,msp,16,half_d,half_d,32,1000d,100
173,msp,16,half_d,d,32,1000d,100
174,msp,16,half_d,2d,32,1000d,100
175,msp,16,half_d,4d,32,1000d,100
176,msp,16,d,half_d,32,1000d,100
177,msp,16,d,d,32,1000d,100
178,msp,16,d,2d,32,1000d,100
179,msp,16,d,4d,32,1000d,100
180,half_msp,8,two,half_d,32,1000d,100
181,half_msp,8,two,d,32,1000d,100
182,half_msp,8,two,2d,32,1000d,100
183,half_msp,8,two,4d,32,1000d,100
184,half_msp,8,half_d,half_d,32,1000d,100
185,half_msp,8,half_d,d,32,1000d,100
186,half_msp,8,half_d,2d,32,1000d,100
187,half_msp,8,half_d,4d,32,1000d,100
188,half_msp,8,d,half_d,32,1000d,100
189,half_msp,8,d,d,32,1000d,100
190,half_msp,8,d,2d,32,1000d,100
191,half_msp,8,d,4d,32,1000d,100
192,half_msp,12,two,half_d,32,1000d,100
193,half_msp,12,two,d,32,1000d,100
194,half_msp,12,two,2d,32,1000d,100
195,half_msp,12,two,4d,32,1000d,100
196,half_msp,12,half_d,half_d,32,1000d,100
197,half_msp,12,half_d,d,32,1000d,100
198,half_msp,12,half_d,2d,32,1000d,100
199,half_msp,12,half_d,4d,32,1000d,100
200,half_msp,12,d,half_d,32,1000d,100
201,half_msp,12,d,d,32,1000d,100
202,half_msp,12,d,2d,32,1000d,100
203,half_msp,12,d,4d,32,1000d,100
204,half_msp,16,two,half_d,32,1000d,100
205,half_msp,16,two,d,32,1000d,100
206,half_msp,16,two,2d,32,1000d,100
207,half_msp,16,two,4d,32,1000d,100
208,half_msp,16,half_d,half_d,32,1000d,100
209,half_msp,16,half_d,d,32,1000d,100
210,half_msp,16,half_d,2d,32,1000d,100
211,half_msp,16,half_d,4d,32,1000d,100
212,half_msp,16,d,half_d,32,1000d,100
213,half_msp,16,d,d,32,1000d,100
214,half_msp,16,d,2d,32,1000d,100
215,half_msp,16,d,4d,32,1000d,100
216,random,8,two,half_d,32,1000d,100
217,random,8,two,d,32,1000d,100
218,random,8,two,2d,32,1000d,100
219,random,8,two,4d,32,1000d,100
220,random,8,half_d,half_d,32,1000d,100
221,random,8,half_d,d,32,1000d,100
222,random,8,half_d,2d,32,1000d,100
223,random,8,half_d,4d,32,1000d,100
224,random,8,d,half_d,32,1000d,100
225,random,8,d,d,32,1000d,100
226,random,8,d,2d,32,1000d,100
227,random,8,d,4d,32,1000d,100
228,random,12,two,half_d,32,1000d,100
229,random,12,two,d,32,1000d,100
230,random,12,two,2d,32,1000d,100
231,random,12,two,4d,32,1000d,100
232,random,12,half_d,half_d,32,1000d,100
233,random,12,half_d,d,32,1000d,100
234,random,12,half_d,2d,32,1000d,100
235,random,12,half_d,4d,32,1000d,100
236,random,12,d,half_d,32,1000d,100
237,random,12,d,d,32,1000d,100
238,random,12,d,2d,32,1000d,100
239,random,12,d,4d,32,1000d,100
240,random,16,two,half_d,32,1000d,100
241,random,16,two,d,32,1000d,100
242,random,16,two,2d,32,1000d,100
243,random,16,two,4d,32,1000d,100
244,random,16,half_d,half_d,32,1000d,100
245,random,16,half_d,d,32,1000d,100
246,random,16,half_d,2d,32,1000d,100
247,random,16,half_d,4d,32,1000d,100
248,random,16,d,half_d,32,1000d,100
249,random,16,d,d,32,1000d,100
250,random,16,d,2d,32,1000d,100
251,random,16,d,4d,32,1000d,100
